feature,importance
numeric__nitrogen_kg_ha,0.1228405225529272
numeric__rainfall_mm,0.08968721129182798
numeric__sunlight_hours,0.08104679488286766
numeric__potassium_kg_ha,0.07893694770770766
numeric__soil_moisture_pct,0.07372351710305104
numeric__humidity_pct,0.0594043505831874
numeric__temperature_c,0.05509231594921708
numeric__altitude_m,0.04896809111529923
numeric__organic_matter_pct,0.046093259956958926
numeric__phosphorus_kg_ha,0.045364706178435826
categorical__season_rabi,0.045126543810957306
numeric__soil_ph,0.041751608325819166
categorical__season_kharif,0.025961043476697372
categorical__irrigation_method_rainfed,0.02181331106345773
categorical__season_zaid,0.018396438238071206
categorical__irrigation_method_canal,0.01530468328353655
categorical__region_east,0.01390394025188228
categorical__irrigation_method_sprinkler,0.011633693216554263
categorical__irrigation_method_drip,0.010501511184850484
categorical__soil_type_black,0.00907332985893078
categorical__season_perennial,0.008089975241237259
categorical__region_coastal,0.007984292421305298
categorical__soil_type_red,0.007322470019976156
categorical__soil_type_sandy_loam,0.0072968290513915745
categorical__region_west,0.006083057077636338
categorical__region_plateau,0.005342192696849956
categorical__soil_type_silty_loam,0.005250030277221111
categorical__region_central,0.0048852006924564985
categorical__region_south,0.004868853990320959
categorical__region_north,0.004064741327466345
categorical__soil_type_loam,0.004044793383841841
categorical__irrigation_method_flood,0.0038591868483434243
categorical__soil_type_alluvial,0.0036947046234347687
categorical__state_Chhattisgarh,0.002617367587360035
categorical__region_hill,0.0025764426186832726
categorical__soil_type_clay,0.0019406923626749681
categorical__state_Odisha,0.001681303998290438
categorical__state_Madhya Pradesh,0.0010303073127984196
categorical__state_Kerala,0.0007352729186774912
categorical__state_Uttarakhand,0.0006272045877086606
categorical__state_Jammu and Kashmir,0.0005216070602054965
categorical__state_Tamil Nadu,0.0003441302404149838
categorical__state_Himachal Pradesh,0.0003100689519553913
categorical__state_West Bengal,0.00020545467751227555
